,Actual Vote of Justice 1,Actual Vote of Justice 2,Actual Vote of Justice 3,Actual Vote of Justice 4,Actual Vote of Justice 5,Actual Vote of Justice 6,Actual Vote of Justice 7,Actual Vote of Justice 8,Actual Vote of Justice 9,Actual Winning Party,Case IDs,Code for Justice 1,Code for Justice 2,Code for Justice 3,Code for Justice 4,Code for Justice 5,Code for Justice 6,Code for Justice 7,Code for Justice 8,Code for Justice 9,Prediction Vote of Justice 1,Prediction Vote of Justice 2,Prediction Vote of Justice 3,Prediction Vote of Justice 4,Prediction Vote of Justice 5,Prediction Vote of Justice 6,Prediction Vote of Justice 7,Prediction Vote of Justice 8,Prediction Vote of Justice 9,Prediction for Winning Party
94,[1],[1],[1],[1],[1],[1],[1],[2],[2],[1],1964083,81,94,92,95,90,88,96,91,78,1,1,1,1,1,1,1,1,1,1
95,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1946030,86,84,81,80,79,78,85,82,87,1,1,1,1,1,1,1,1,1,1
96,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1976113,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,1,1,1
97,[1],[1],[1],[2],[1],[2],[2],[1],[2],[1],1981069,98,92,95,99,100,101,102,103,104,1,1,1,2,1,1,2,1,1,1
98,[2],[2],[1],[1],[1],[1],[2],[1],[1],[1],2005030,106,107,108,109,110,111,112,103,105,1,1,1,1,1,1,1,1,1,1
99,[1],[1],[4],[1],[1],[1],[2],[4],[1],[1],1964077,81,88,91,92,94,95,96,91,78,1,1,1,1,1,1,1,1,1,1
100,[1],[1],[1],[1],[4],[1],[1],[4],[1],[1],1950014,89,88,86,84,81,80,79,78,87,1,1,1,1,1,1,1,1,1,1
101,[3],[1],[4],[1],[1],[1],[1],[3],[1],[1],1999022,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,1
102,[4],[1],[1],[2],[1],[1],[1],[2],[4],[1],1963149,81,94,92,95,90,88,96,91,78,1,1,1,2,1,1,1,2,1,1
103,[1],[1],[2],[1],[1],[2],[2],[2],[1],[1],1948110,86,84,81,80,79,78,85,82,87,1,1,2,1,1,2,2,2,1,0
104,[1],[1],[1],[1],[2],[1],[1],[2],[1],[0],1980033,94,98,92,95,99,100,101,102,103,1,1,1,1,2,1,4,2,1,1
105,[1],[1],[1],[4],[1],[1],[1],[2],[1],[1],1979117,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,4,2,1,1
106,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1946057,86,84,81,80,79,78,85,82,87,1,1,1,1,1,1,1,1,1,1
107,[1],[1],[1],[2],[1],[2],[2],[1],[1],[1],2004060,104,105,106,107,108,109,110,103,104,1,1,1,1,1,1,1,1,1,1
108,[2],[1],[2],[1],[1],[2],[1],[2],[2],[0],1998038,106,107,108,109,110,102,103,104,105,1,2,1,2,2,1,2,1,1,1
109,[1],[1],[1],[1],[1],[1],[2],[1],[2],[0],1992117,105,106,107,108,109,100,102,103,104,1,1,1,1,1,1,1,1,1,1
110,[1],[1],[1],[1],[1],[2],[4],[1],[2],[0],1986042,98,92,95,100,101,102,103,104,105,1,1,1,1,1,1,1,1,1,1
111,[2],[2],[1],[2],[1],[1],[4],[1],[1],[0],1986120,98,92,95,100,101,102,103,104,105,2,2,1,2,1,1,1,1,1,1
112,[1],[1],[3],[1],[2],[1],[3],[1],[3],[1],1999026,106,107,108,109,110,102,103,104,105,1,1,1,1,2,1,1,1,1,1
113,[1],[1],[1],[1],[2],[1],[1],[1],[4],[1],1968128,78,81,94,98,92,95,90,99,78,1,1,1,1,1,1,1,1,1,1
114,[1],[1],[1],[1],[1],[1],[2],[2],[1],[0],2011065,109,110,112,113,114,111,105,106,108,1,1,1,1,1,1,1,1,1,1
115,[1],[1],[1],[2],[2],[2],[2],[1],[1],[0],1956089,93,86,91,78,81,92,90,88,80,1,1,1,2,2,1,1,1,1,1
116,[1],[1],[2],[1],[2],[1],[1],[1],[1],[1],2001065,108,109,110,102,103,104,105,106,107,1,1,1,1,2,1,1,1,1,1
117,[2],[1],[1],[1],[2],[2],[1],[1],[2],[1],1947104,86,84,81,80,79,78,85,82,87,1,2,1,2,1,1,2,2,1,0
118,[1],[1],[2],[1],[1],[2],[2],[2],[1],[0],1947066,86,84,81,80,79,78,85,82,87,1,1,2,1,1,2,2,2,1,0
119,[1],[4],[1],[1],[1],[1],[1],[1],[1],[0],1957139,93,86,91,78,81,92,90,88,80,1,1,1,1,1,1,1,1,1,1
120,[2],[2],[1],[2],[2],[1],[1],[1],[1],[0],2010046,109,110,112,113,114,111,105,106,108,2,1,1,1,1,1,1,1,1,1
121,[2],[2],[1],[1],[2],[1],[1],[1],[1],[1],1985104,98,92,95,99,100,101,102,103,104,2,2,1,1,2,1,1,1,1,1
122,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1957020,93,86,91,78,81,92,90,88,80,1,1,1,1,1,1,1,1,1,1
123,[1],[1],[1],[1],[1],[1],[2],[1],[1],[0],1994076,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,2,1,1,0
124,[2],[2],[1],[2],[1],[1],[1],[1],[1],[1],1986068,98,92,95,100,101,102,103,104,105,2,2,1,2,1,1,1,1,1,1
125,[1],[1],[1],[1],[4],[1],[2],[2],[2],[1],1981153,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,2,1
126,[1],[3],[1],[3],[1],[1],[1],[1],[2],[0],1994061,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,1
127,[1],[1],[1],[1],[1],[1],[1],[1],[4],[1],1972166,100,101,102,81,94,98,92,95,99,1,1,1,1,1,1,1,1,1,1
128,[1],[1],[1],[1],[1],[1],[2],[1],[1],[1],1966003,94,92,95,90,88,97,91,78,81,1,1,1,1,1,1,2,1,1,1
129,[1],[4],[1],[2],[4],[2],[1],[1],[2],[1],2003045,104,105,106,107,108,109,110,102,103,1,1,1,2,1,1,1,1,1,1
130,[1],[1],[2],[1],[1],[1],[1],[1],[1],[0],1994070,106,107,108,109,110,102,103,104,105,1,1,2,1,1,1,1,1,1,1
131,[1],[1],[1],[1],[1],[1],[1],[1],[2],[1],1966006,94,92,95,90,88,97,91,78,81,1,1,1,1,1,1,1,1,1,1
132,[1],[1],[2],[1],[2],[1],[2],[2],[1],[1],1948050,87,78,79,80,81,82,84,85,86,1,1,1,1,1,1,1,1,1,0
133,[1],[2],[2],[1],[1],[1],[1],[1],[2],[1],1975118,94,98,92,95,99,100,101,102,103,1,2,2,1,1,1,1,1,2,1
134,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1983092,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
135,[1],[2],[1],[1],[1],[2],[1],[2],[3],[1],1984038,98,92,95,99,100,101,102,103,104,1,2,1,1,1,1,1,2,1,1
136,[1],[2],[2],[1],[1],[1],[1],[1],[2],[0],1979106,94,98,92,95,99,100,101,102,103,1,2,2,1,1,1,1,1,2,0
137,[2],[3],[4],[2],[5],[2],[1],[1],[4],[0],1995053,106,107,108,109,110,102,103,104,105,1,1,1,2,1,1,1,1,1,1
138,[1],[1],[1],[2],[1],[1],[1],[1],[1],[1],1973088,100,101,102,81,94,98,92,95,99,1,1,1,2,1,1,1,1,1,1
139,[1],[1],[1],[1],[1],[1],[2],[1],[2],[0],1981143,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,2,1,1,1
140,[2],[3],[2],[1],[1],[2],[1],[1],[1],[1],1969053,81,91,92,94,95,98,91,78,81,1,1,1,2,1,1,1,1,1,1
141,[1],[1],[1],[1],[2],[1],[1],[1],[2],[1],2006008,105,106,107,108,109,110,112,103,105,1,1,1,1,2,1,1,1,2,1
142,[1],[2],[1],[4],[4],[1],[1],[4],[1],[0],1990096,102,103,104,105,106,107,95,100,102,1,2,1,1,1,1,1,1,1,1
143,[4],[2],[2],[1],[1],[1],[1],[1],[2],[1],1978096,94,98,92,95,99,100,101,102,103,1,2,2,1,1,1,1,1,2,1
144,[1],[4],[1],[1],[1],[1],[1],[1],[1],[1],1986145,103,104,105,98,92,95,100,102,103,1,1,1,1,1,1,1,1,1,1
145,[1],[1],[1],[1],[1],[1],[1],[1],[2],[1],2013068,109,110,112,113,114,111,105,106,108,1,1,1,1,1,1,1,1,2,1
146,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1955055,89,91,78,81,90,88,80,86,79,1,1,1,1,1,1,1,1,1,0
147,[1],[1],[2],[2],[1],[1],[2],[3],[2],[1],1983077,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,0
148,[1],[1],[1],[1],[2],[1],[1],[1],[2],[0],1972025,100,101,102,81,94,98,92,95,99,1,1,1,2,1,2,2,1,1,1
149,[1],[1],[1],[2],[1],[3],[2],[3],[2],[1],1985110,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
150,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1965026,94,92,95,90,88,97,91,78,81,1,1,1,1,1,1,1,1,1,1
151,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1989143,98,95,100,102,103,104,105,106,107,1,1,1,1,1,1,1,1,1,1
152,[1],[1],[1],[1],[1],[1],[1],[1],[2],[1],1965131,94,92,95,90,88,97,91,78,81,1,1,1,1,1,1,1,1,1,1
153,[1],[1],[2],[1],[4],[4],[1],[1],[2],[0],1995047,106,107,108,109,110,102,103,104,105,1,1,2,1,1,1,1,1,2,1
154,[1],[1],[1],[1],[1],[1],[3],[1],[2],[0],1999013,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,0
155,[1],[2],[1],[1],[1],[1],[1],[1],[1],[0],1960100,80,93,91,78,81,94,92,90,88,2,1,1,1,1,1,1,1,1,0
156,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1976003,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,1,1,1
157,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1952075,88,86,84,81,80,79,78,87,89,1,1,1,1,1,1,1,1,1,0
158,[1],[1],[1],[4],[2],[1],[4],[2],[3],[0],1976093,94,98,92,95,99,100,101,102,103,1,1,1,1,2,1,1,2,1,1
159,[1],[4],[1],[4],[4],[2],[1],[1],[2],[1],1966120,88,91,92,94,95,97,91,78,81,1,1,1,1,1,1,1,1,1,1
160,[1],[1],[4],[1],[1],[1],[1],[1],[1],[1],2014005,109,110,112,113,114,111,105,106,108,1,1,1,1,1,1,1,1,1,1
161,[1],[2],[1],[2],[1],[1],[1],[1],[2],[1],1997064,106,107,108,109,110,102,103,104,105,1,2,1,2,1,1,1,1,2,1
162,[1],[1],[2],[2],[1],[2],[2],[1],[1],[1],1973005,100,101,102,81,94,98,92,95,99,1,1,2,2,1,2,2,1,1,1
163,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1984056,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
164,[4],[1],[1],[1],[1],[1],[1],[1],[1],[1],1970131,81,94,98,92,95,99,100,81,94,1,1,1,1,1,1,1,1,1,1
165,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1983095,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
166,[1],[1],[1],[1],[1],[1],[1],[2],[1],[0],1964112,81,94,92,95,90,88,96,91,78,1,1,1,1,1,1,1,1,1,1
167,[1],[1],[1],[1],[1],[1],[1],[3],[3],[1],2011047,109,110,112,113,114,111,105,106,108,1,1,1,1,1,1,1,1,1,1
168,[1],[1],[4],[1],[4],[1],[2],[1],[1],[1],1967002,94,98,92,95,90,97,91,78,81,1,1,1,1,1,1,2,1,1,1
169,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1963071,81,94,92,95,90,88,96,91,78,1,1,1,1,1,1,1,1,1,1
