,Actual Vote of Justice 1,Actual Vote of Justice 2,Actual Vote of Justice 3,Actual Vote of Justice 4,Actual Vote of Justice 5,Actual Vote of Justice 6,Actual Vote of Justice 7,Actual Vote of Justice 8,Actual Vote of Justice 9,Actual Winning Party,Case IDs,Code for Justice 1,Code for Justice 2,Code for Justice 3,Code for Justice 4,Code for Justice 5,Code for Justice 6,Code for Justice 7,Code for Justice 8,Code for Justice 9,Prediction Vote of Justice 1,Prediction Vote of Justice 2,Prediction Vote of Justice 3,Prediction Vote of Justice 4,Prediction Vote of Justice 5,Prediction Vote of Justice 6,Prediction Vote of Justice 7,Prediction Vote of Justice 8,Prediction Vote of Justice 9,Prediction for Winning Party
1300,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1989118,98,95,100,102,103,104,105,106,107,1,1,1,1,1,1,1,1,1,1
1301,[1],[2],[1],[1],[2],[1],[1],[1],[1],[0],2015032,106,108,109,110,112,113,114,111,106,1,1,1,1,1,1,1,1,1,0
1302,[1],[1],[2],[2],[1],[1],[1],[1],[2],[1],1980023,94,98,92,95,99,100,101,102,103,1,1,2,2,1,1,1,1,2,1
1303,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1983083,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
1304,[2],[2],[1],[2],[1],[2],[1],[1],[1],[1],1989006,98,92,95,100,102,103,104,105,106,2,2,1,2,1,2,1,1,1,1
1305,[1],[1],[1],[1],[1],[4],[1],[1],[1],[1],1979152,99,92,94,95,98,100,101,102,103,1,1,1,1,1,1,1,1,1,1
1306,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1992054,103,104,105,106,107,108,95,100,102,1,1,1,1,1,1,1,4,1,0
1307,[1],[2],[1],[1],[2],[1],[1],[1],[1],[1],1996065,106,107,108,109,110,102,103,104,105,1,2,1,1,2,1,1,1,1,1
1308,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1966065,94,92,95,90,88,97,91,78,81,1,1,1,1,1,1,1,1,1,1
1309,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1989139,98,95,100,102,103,104,105,106,107,1,1,1,1,1,1,1,1,1,1
1310,[1],[2],[2],[1],[1],[1],[1],[1],[1],[1],1970070,94,98,92,95,99,100,91,78,81,1,1,1,1,1,1,1,1,1,1
1311,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1947028,86,84,81,80,79,78,85,82,87,1,1,1,1,1,1,1,1,1,1
1312,[3],[1],[2],[2],[1],[2],[1],[1],[1],[1],2003035,103,104,105,106,107,108,109,110,102,1,1,1,1,1,1,1,1,1,1
1313,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1982084,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,0
1314,[1],[1],[1],[1],[1],[1],[2],[1],[1],[1],1965053,94,92,95,90,88,97,91,78,81,1,1,1,1,1,1,2,1,1,1
1315,[1],[1],[2],[1],[1],[2],[4],[4],[1],[0],1948046,86,84,81,80,79,78,85,82,87,1,1,2,1,1,2,1,1,1,0
1316,[1],[1],[1],[1],[1],[1],[2],[1],[1],[1],1981154,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,2,1,1,1
1317,[1],[1],[1],[3],[3],[1],[1],[1],[1],[1],1997094,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,0
1318,[3],[2],[4],[1],[2],[1],[1],[1],[1],[1],2016053,108,109,110,112,113,114,115,111,106,1,2,1,1,2,1,1,1,1,1
1319,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1960052,80,93,91,78,81,94,92,90,88,1,1,1,1,1,1,1,1,1,0
1320,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1996068,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,0
1321,[1],[1],[1],[1],[4],[1],[1],[4],[1],[1],1982034,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
1322,[1],[1],[1],[1],[1],[1],[2],[1],[1],[1],1998059,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,2,1,1,1
1323,[1],[1],[2],[1],[1],[1],[1],[1],[1],[1],1947016,86,84,81,80,79,78,85,82,87,1,1,2,1,1,1,1,1,1,1
1324,[1],[1],[1],[2],[1],[1],[2],[2],[1],[1],2000040,108,109,110,102,103,104,105,106,107,1,1,1,2,1,1,2,1,1,1
1325,[1],[4],[1],[4],[4],[1],[2],[1],[1],[1],1996056,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,2,1,1,1
1326,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1960080,80,93,91,78,81,94,92,90,88,1,1,1,1,1,1,1,1,1,1
1327,[1],[2],[1],[2],[3],[2],[1],[2],[2],[1],1998007,106,107,108,109,110,102,103,104,105,1,2,1,2,3,1,2,1,1,1
1328,[2],[2],[4],[1],[1],[1],[1],[1],[1],[0],1959034,80,93,91,78,81,94,92,90,88,1,1,1,1,1,1,1,1,1,1
1329,[2],[1],[1],[2],[2],[3],[2],[3],[3],[1],2003022,102,103,104,105,106,107,108,109,110,1,2,1,1,1,1,2,1,1,1
1330,[3],[1],[1],[1],[3],[1],[1],[1],[1],[1],1998072,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,0
1331,[1],[1],[1],[2],[1],[1],[1],[1],[1],[1],1990026,95,100,102,103,104,105,106,107,98,1,1,1,2,1,1,1,1,2,0
1332,[4],[1],[1],[2],[2],[1],[2],[2],[1],[1],1958115,80,93,91,78,81,94,92,90,88,1,1,1,2,2,1,2,2,1,1
1333,[4],[4],[1],[4],[1],[4],[1],[1],[1],[0],1988017,98,92,95,100,102,103,104,105,106,1,1,1,1,1,1,1,1,1,0
1334,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1959060,80,93,91,78,81,94,92,90,88,1,1,1,1,1,1,1,1,1,1
1335,[2],[2],[1],[2],[2],[1],[2],[1],[2],[1],2014010,109,110,112,113,114,111,105,106,108,1,1,1,1,1,1,2,1,1,1
1336,[2],[1],[1],[3],[3],[1],[3],[2],[1],[1],1957081,93,86,91,78,81,92,90,88,80,2,1,1,1,1,1,1,1,1,0
1337,[1],[1],[1],[1],[2],[4],[3],[1],[1],[1],1952079,88,86,84,81,80,79,78,87,89,1,1,1,1,1,1,1,1,1,0
1338,[1],[2],[2],[4],[1],[2],[3],[1],[1],[1],1977011,94,98,92,95,99,100,101,102,103,1,2,2,1,1,2,1,1,1,1
1339,[2],[2],[1],[1],[3],[1],[1],[4],[3],[1],1981126,98,92,95,99,100,101,102,103,104,2,2,1,1,1,1,1,1,1,1
1340,[1],[1],[1],[1],[1],[1],[1],[4],[1],[1],1962097,81,94,92,95,90,88,96,91,78,1,1,1,1,1,1,1,1,1,1
1341,[1],[1],[1],[2],[1],[1],[1],[1],[1],[1],1967191,94,98,92,95,90,97,91,78,81,1,1,1,2,1,1,1,1,1,1
1342,[1],[1],[1],[3],[2],[2],[1],[2],[1],[0],1953014,81,90,88,80,86,79,89,84,78,1,1,1,1,1,1,1,1,1,0
1343,[1],[1],[1],[1],[1],[1],[2],[4],[4],[1],1965060,94,92,95,90,88,97,91,78,81,1,1,1,1,1,1,2,1,1,1
1344,[1],[2],[2],[1],[1],[1],[1],[1],[1],[0],1976085,94,98,92,95,99,100,101,102,103,1,2,2,1,1,1,1,1,1,1
1345,[1],[1],[3],[1],[1],[1],[1],[1],[1],[1],1995082,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,1
1346,[1],[2],[1],[2],[1],[1],[1],[1],[1],[0],1964084,81,94,92,95,90,88,96,91,78,1,2,1,2,1,1,1,1,1,1
1347,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1959022,80,93,91,78,81,94,92,90,88,1,1,1,1,1,1,1,1,1,1
1348,[1],[1],[1],[1],[1],[1],[2],[1],[3],[1],1995066,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,2,1,1,0
1349,[1],[1],[1],[2],[2],[1],[1],[1],[1],[0],1954005,86,79,89,78,81,90,88,80,86,1,1,1,2,1,1,1,1,1,1
1350,[1],[1],[1],[4],[2],[4],[1],[2],[1],[1],1979036,94,98,92,95,99,100,101,102,103,1,1,1,1,2,1,1,2,1,1
1351,[1],[1],[1],[1],[2],[2],[2],[2],[2],[1],1990055,95,100,102,103,104,105,106,107,98,1,1,1,1,1,1,1,1,1,1
1352,[1],[1],[1],[1],[4],[1],[1],[4],[1],[1],2002055,110,102,103,104,105,106,107,108,109,1,1,1,1,1,1,1,1,1,1
1353,[2],[2],[1],[2],[1],[1],[1],[1],[1],[0],1959135,93,94,91,78,81,94,92,90,88,1,1,1,2,1,1,1,1,1,1
1354,[2],[1],[1],[1],[1],[1],[2],[2],[1],[1],1952033,88,86,84,81,80,79,78,87,89,1,1,1,1,1,1,2,1,1,0
1355,[1],[2],[3],[1],[4],[1],[3],[1],[1],[1],2003058,104,105,106,107,108,109,110,102,103,1,2,1,1,1,1,1,1,1,1
1356,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1965107,94,92,95,90,88,97,91,78,81,1,1,1,1,1,1,1,1,1,1
1357,[1],[1],[1],[1],[1],[2],[2],[1],[1],[1],1966060,94,92,95,90,88,97,91,78,81,1,1,1,1,1,2,2,1,1,1
1358,[1],[1],[2],[1],[1],[1],[1],[1],[2],[1],1957089,93,86,91,78,81,92,90,88,80,1,1,2,1,1,1,1,1,2,0
1359,[1],[2],[2],[1],[1],[1],[2],[1],[1],[1],1979012,94,98,92,95,99,100,101,102,103,1,2,2,1,1,1,2,1,1,1
1360,[1],[1],[2],[1],[2],[1],[2],[1],[1],[0],1993045,105,106,107,108,109,100,102,103,104,1,1,1,1,1,1,1,1,1,1
1361,[2],[2],[2],[3],[3],[1],[1],[1],[1],[1],1961016,80,93,91,78,81,94,92,90,88,1,1,2,1,1,1,1,1,1,1
1362,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1997075,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,1
1363,[1],[1],[1],[2],[1],[1],[1],[1],[1],[1],1973153,100,101,102,81,94,98,92,95,99,1,1,1,2,1,1,1,1,1,1
1364,[1],[1],[1],[2],[1],[2],[2],[2],[1],[1],2003069,104,105,106,107,108,109,110,102,103,1,1,1,2,1,1,1,1,1,1
1365,[1],[1],[1],[2],[2],[2],[2],[1],[1],[1],1972146,100,101,102,81,94,98,92,95,99,1,1,1,2,2,2,2,1,1,1
1366,[1],[1],[1],[1],[1],[3],[1],[1],[2],[0],1974106,100,101,102,81,94,98,92,95,99,1,1,1,1,1,1,1,1,2,1
1367,[1],[2],[1],[1],[1],[3],[4],[1],[2],[1],1964030,81,94,92,95,90,88,96,91,78,1,2,1,1,1,1,1,2,1,1
1368,[1],[1],[1],[1],[2],[1],[1],[2],[1],[1],2009020,108,109,110,112,113,111,103,105,106,1,1,1,1,2,1,1,1,1,1
1369,[2],[2],[1],[4],[1],[2],[5],[4],[1],[0],1988093,98,92,95,100,102,103,104,105,106,2,2,1,1,1,2,1,1,1,0
1370,[2],[1],[1],[2],[2],[2],[1],[1],[1],[0],1982149,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
1371,[1],[1],[1],[1],[1],[1],[2],[1],[1],[0],1965080,94,92,95,90,88,97,91,78,81,1,1,1,1,1,1,2,1,1,1
1372,[2],[2],[2],[1],[1],[1],[1],[2],[1],[1],1957115,93,86,91,78,81,92,90,88,80,1,1,2,1,1,1,1,1,1,0
1373,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1972158,100,101,102,81,94,98,92,95,99,1,1,1,1,1,1,1,1,1,1
1374,[1],[1],[2],[1],[1],[2],[2],[1],[1],[1],2005076,106,107,108,109,110,111,112,103,105,1,1,1,1,1,1,1,1,1,1
1375,[1],[1],[1],[3],[3],[1],[1],[1],[1],[0],2005087,106,107,108,109,110,111,112,103,105,1,1,1,1,1,1,1,1,1,1
1376,[4],[4],[1],[1],[3],[1],[1],[1],[1],[0],1992031,103,104,105,106,107,108,95,100,102,1,1,1,1,1,1,1,1,1,1
1377,[1],[1],[3],[4],[1],[1],[2],[1],[4],[0],1986107,98,92,95,100,101,102,103,104,105,1,1,1,1,1,1,2,1,1,1
1378,[2],[2],[1],[1],[1],[2],[1],[1],[1],[1],1980046,94,98,92,95,99,100,101,102,103,2,2,2,1,1,1,1,1,1,1
1379,[1],[1],[1],[1],[1],[1],[2],[1],[1],[0],2007004,108,109,110,111,112,103,105,106,107,1,1,1,1,1,1,2,1,1,0
1380,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1959130,80,93,91,78,81,94,92,90,88,1,1,1,1,1,1,1,1,1,0
1381,[2],[1],[1],[2],[1],[1],[1],[1],[1],[1],2015017,108,109,110,112,113,114,111,106,108,1,1,1,1,1,1,1,1,1,0
1382,[1],[1],[4],[1],[1],[1],[1],[2],[1],[1],2005033,106,107,108,109,110,111,112,103,105,1,1,1,1,1,1,1,1,1,0
1383,[1],[1],[1],[1],[1],[1],[1],[2],[1],[1],1983082,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,2,1,1
1384,[4],[3],[1],[1],[1],[2],[1],[3],[2],[0],2006030,108,109,110,111,112,103,105,106,107,1,1,1,1,1,1,1,1,1,1
1385,[2],[5],[2],[4],[2],[3],[3],[2],[2],[1],1999051,107,108,109,110,102,103,104,105,106,1,1,1,1,1,1,1,1,1,1
1386,[3],[2],[3],[3],[1],[2],[4],[1],[1],[1],1999050,107,108,109,110,102,103,104,105,106,1,1,1,1,1,1,1,1,1,1
1387,[1],[1],[1],[3],[2],[1],[3],[2],[1],[1],1958069,80,93,90,78,80,81,88,91,92,1,1,1,1,2,1,1,1,1,1
1388,[1],[1],[1],[2],[2],[2],[2],[1],[1],[1],1972129,100,101,102,81,94,98,92,95,99,1,1,1,2,2,2,2,1,1,1
1389,[1],[3],[1],[4],[3],[3],[1],[1],[1],[1],2003031,102,103,104,105,106,107,108,109,110,1,1,1,1,1,1,1,1,1,1
1390,[1],[1],[1],[2],[2],[1],[1],[1],[1],[1],1972169,100,101,102,81,94,98,92,95,99,1,1,1,2,2,1,1,1,1,1
1391,[1],[2],[1],[2],[1],[1],[1],[1],[1],[1],1963103,81,94,92,95,90,88,96,91,78,1,2,1,2,1,1,1,1,1,1
1392,[1],[1],[1],[1],[1],[2],[1],[1],[1],[0],1978153,99,92,94,95,98,100,101,102,103,1,1,1,1,1,2,1,1,1,1
1393,[1],[1],[4],[1],[1],[1],[1],[1],[4],[0],1971041,100,101,102,81,94,98,92,95,99,1,1,1,1,1,1,1,1,1,1
1394,[1],[2],[2],[2],[2],[2],[2],[1],[1],[0],1971078,100,101,102,81,94,98,92,95,99,1,1,1,2,1,2,2,1,1,1
1395,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1954022,79,89,78,81,90,88,80,86,79,1,1,1,1,1,1,1,1,1,0
1396,[2],[3],[1],[2],[3],[1],[1],[1],[1],[0],2015025,108,109,110,112,113,114,111,106,108,1,1,1,1,1,1,1,1,1,1
1397,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],2000075,108,109,110,102,103,104,105,106,107,1,1,1,1,1,1,1,1,1,1
1398,[1],[2],[2],[2],[2],[2],[1],[1],[2],[1],1954036,80,86,79,89,78,81,90,88,80,1,1,1,1,1,1,1,1,1,1
1399,[1],[1],[1],[2],[2],[2],[2],[1],[3],[1],1957133,93,86,91,78,81,92,90,88,80,1,1,1,2,2,1,2,1,1,0
1400,[2],[1],[1],[1],[1],[3],[1],[2],[1],[1],1968072,94,98,92,95,90,97,91,78,81,2,1,1,1,1,1,1,2,1,1
1401,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1971160,100,101,102,81,94,98,92,95,99,1,1,1,1,1,1,1,1,1,1
1402,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1986090,98,92,95,100,101,102,103,104,105,1,1,1,1,1,1,1,1,1,1
1403,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1997043,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,1
1404,[1],[1],[1],[1],[1],[2],[2],[1],[2],[0],2014028,109,110,112,113,114,111,105,106,108,1,1,1,1,1,1,2,1,2,1
1405,[1],[1],[3],[1],[3],[1],[1],[1],[1],[1],2010059,109,110,112,113,114,111,105,106,108,1,1,1,1,1,1,1,1,1,1
1406,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],2001075,108,109,110,102,103,104,105,106,107,1,1,1,1,1,1,1,1,1,1
1407,[3],[1],[1],[1],[1],[1],[1],[1],[1],[1],1976153,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,1,1,1
1408,[2],[1],[1],[1],[1],[1],[1],[1],[1],[1],1982025,98,92,95,99,100,101,102,103,104,2,1,1,1,1,1,1,1,1,1
1409,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],2004045,105,106,107,108,109,110,111,103,104,1,1,1,1,1,1,1,1,1,1
1410,[1],[1],[1],[4],[1],[1],[4],[4],[1],[0],1984099,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,0
1411,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1983085,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
1412,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1999029,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,0
1413,[1],[2],[2],[1],[1],[1],[1],[1],[2],[0],1976159,94,98,92,95,99,100,101,102,103,1,2,2,1,1,1,1,1,2,1
1414,[1],[4],[3],[1],[4],[1],[2],[1],[1],[1],2016048,108,109,110,112,113,114,115,111,106,1,1,1,1,1,1,1,1,1,1
1415,[1],[2],[1],[2],[1],[2],[1],[1],[1],[0],1962056,81,94,92,95,90,88,96,91,78,1,2,1,2,1,2,1,1,1,1
1416,[1],[1],[1],[1],[1],[2],[2],[1],[2],[1],2013066,109,110,112,113,114,111,105,106,108,1,1,1,1,1,1,1,1,1,1
1417,[1],[1],[1],[1],[1],[2],[2],[1],[1],[1],1966107,94,92,95,90,88,97,91,78,81,1,1,1,1,1,1,2,1,1,1
1418,[3],[3],[3],[1],[3],[3],[3],[1],[2],[1],2016036,108,109,110,112,113,114,115,111,106,1,1,1,1,1,1,1,1,1,1
1419,[3],[1],[3],[3],[1],[2],[1],[1],[1],[0],2000029,107,108,109,110,102,103,104,105,106,1,1,1,1,1,2,1,1,1,1
1420,[4],[4],[1],[1],[4],[1],[1],[4],[1],[1],1985105,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
1421,[2],[2],[1],[1],[1],[1],[1],[2],[1],[0],1982123,98,92,95,99,100,101,102,103,104,2,2,1,1,1,1,1,2,1,1
1422,[1],[1],[3],[1],[1],[1],[1],[2],[2],[0],2005077,106,107,108,109,110,111,112,103,105,1,1,1,1,1,1,1,1,1,0
1423,[3],[2],[1],[4],[1],[2],[1],[2],[1],[1],1962025,81,94,92,95,90,88,96,91,78,1,2,1,1,1,2,1,2,1,1
1424,[1],[1],[1],[1],[2],[1],[1],[1],[1],[1],1997036,106,107,108,109,110,102,103,104,105,1,1,1,1,2,1,1,1,1,1
1425,[1],[2],[1],[1],[1],[1],[2],[1],[1],[1],1955084,89,91,78,81,90,88,80,86,79,1,2,1,1,1,1,1,1,1,1
1426,[1],[1],[1],[2],[2],[1],[1],[1],[1],[1],1959011,80,93,91,78,81,94,92,90,88,1,1,1,2,2,1,1,1,1,1
1427,[1],[1],[1],[1],[4],[1],[1],[1],[1],[0],1966077,94,92,95,90,88,97,91,78,81,1,1,1,1,1,1,1,1,1,1
1428,[2],[2],[1],[1],[1],[1],[1],[2],[1],[1],1983138,98,92,95,99,100,101,102,103,104,2,2,1,1,1,1,1,2,1,1
1429,[1],[1],[1],[1],[1],[2],[1],[1],[1],[0],2000006,107,108,109,110,102,103,104,105,106,1,1,1,1,1,2,1,1,1,1
1430,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1954057,89,91,78,81,90,88,80,86,79,1,1,1,1,1,1,1,1,1,1
1431,[1],[2],[1],[2],[1],[2],[1],[2],[2],[1],1965127,94,92,95,90,88,97,91,78,81,2,1,2,1,1,1,2,1,1,1
1432,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1954052,90,88,80,86,79,89,78,81,90,1,1,1,1,1,1,1,1,1,1
1433,[1],[1],[1],[1],[1],[1],[1],[2],[1],[1],1979085,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,2,1,0
1434,[1],[1],[1],[4],[1],[3],[3],[1],[1],[0],1972108,100,101,102,81,94,98,92,95,99,1,1,1,1,1,1,1,1,1,1
1435,[2],[2],[1],[1],[1],[4],[1],[1],[1],[0],1988018,98,92,95,100,102,103,104,105,106,2,2,1,1,1,1,1,1,1,0
1436,[2],[2],[5],[4],[2],[4],[4],[2],[4],[1],1982118,98,92,95,99,100,101,102,103,104,2,2,1,1,2,1,1,2,1,1
1437,[2],[1],[1],[1],[2],[1],[1],[2],[1],[1],1950055,89,88,86,84,81,80,79,78,87,1,1,1,1,2,1,1,2,1,0
1438,[1],[3],[1],[1],[1],[1],[1],[1],[1],[1],1997039,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,1
1439,[1],[1],[1],[1],[2],[1],[1],[1],[1],[0],1957096,93,86,91,78,81,92,90,88,80,1,1,1,1,2,1,1,1,1,1
1440,[1],[1],[1],[1],[1],[1],[4],[2],[1],[1],1968032,94,98,92,95,90,97,91,78,81,1,1,1,1,1,1,1,2,1,1
1441,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1995058,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,1
1442,[2],[1],[1],[2],[1],[1],[2],[2],[1],[0],1967087,94,98,92,95,90,97,91,78,81,1,1,1,2,1,1,1,1,1,1
1443,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1987021,98,92,95,100,102,103,104,105,106,1,1,1,1,1,1,1,1,1,1
1444,[2],[1],[1],[1],[1],[1],[2],[2],[1],[1],2000069,108,109,110,102,103,104,105,106,107,1,1,1,1,1,1,1,1,1,1
1445,[1],[1],[1],[2],[4],[1],[2],[1],[1],[1],1973158,100,101,102,81,94,98,92,95,99,1,1,1,2,1,1,2,1,1,1
1446,[1],[2],[1],[1],[1],[1],[1],[2],[2],[0],1948090,86,84,81,80,79,78,85,82,87,1,2,1,1,1,1,1,1,1,0
1447,[1],[1],[1],[1],[1],[1],[1],[2],[1],[0],1977008,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,2,1,1
1448,[1],[1],[1],[1],[1],[1],[1],[2],[1],[1],1992066,103,104,105,106,107,108,95,100,102,1,1,1,1,1,1,1,2,1,0
1449,[2],[4],[2],[1],[1],[1],[3],[3],[1],[1],1971124,100,101,102,81,94,98,92,95,99,1,1,1,1,1,1,1,1,1,1
1450,[2],[1],[1],[2],[2],[1],[1],[3],[1],[0],2005050,106,107,108,109,110,111,112,103,105,1,1,1,1,1,1,1,1,1,1
1451,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1970122,92,95,99,100,81,94,98,92,95,1,1,1,1,1,1,1,1,1,1
1452,[3],[3],[1],[3],[1],[1],[1],[1],[1],[1],1985027,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
1453,[1],[1],[1],[2],[1],[1],[2],[2],[1],[0],1967156,94,98,92,95,90,97,91,78,81,1,1,1,1,1,1,1,1,1,1
1454,[1],[2],[1],[2],[1],[4],[1],[1],[2],[1],1990014,95,100,102,103,104,105,106,107,102,1,2,1,2,1,1,1,1,1,1
1455,[1],[1],[2],[1],[1],[2],[4],[2],[1],[1],1946017,86,84,81,80,79,78,85,82,87,1,1,2,1,1,2,1,2,1,0
1456,[1],[2],[2],[1],[2],[1],[2],[1],[1],[1],2009041,108,109,110,112,113,111,103,105,106,1,2,1,1,1,1,2,1,1,1
1457,[2],[2],[1],[1],[1],[1],[1],[1],[1],[0],1959054,80,93,91,78,81,94,92,90,88,1,1,1,1,1,1,1,1,1,1
1458,[1],[1],[1],[1],[1],[1],[3],[1],[1],[1],1955077,89,91,78,81,90,88,80,86,79,1,1,1,1,1,1,1,1,1,1
1459,[2],[2],[1],[2],[1],[3],[1],[4],[3],[0],1987146,98,92,95,100,102,103,104,105,106,2,2,1,2,1,1,1,1,1,0
1460,[1],[2],[2],[1],[3],[3],[1],[3],[1],[1],1976137,94,98,92,95,99,100,101,102,103,1,2,2,1,1,1,1,1,1,1
1461,[1],[1],[4],[1],[1],[4],[4],[1],[4],[1],2013031,109,110,112,113,114,111,105,106,108,1,1,1,1,1,1,1,1,1,1
1462,[1],[1],[2],[1],[1],[1],[2],[1],[1],[1],1952006,88,86,84,81,80,79,78,87,89,1,1,2,1,1,1,2,1,1,0
1463,[2],[1],[2],[2],[1],[1],[4],[3],[1],[1],2007064,107,108,109,110,112,111,103,105,106,1,1,1,2,1,1,1,1,1,1
1464,[1],[2],[1],[1],[2],[1],[2],[3],[1],[1],2008045,107,108,109,110,112,111,103,105,106,1,2,1,1,2,1,2,1,1,1
1465,[1],[2],[1],[2],[1],[1],[1],[1],[2],[0],1990077,95,100,102,103,104,105,106,107,98,1,2,1,2,1,1,1,1,2,0
1466,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1985074,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
1467,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],2013014,109,110,112,113,114,111,105,106,108,1,1,1,1,1,1,1,1,1,1
1468,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1983099,99,92,95,98,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
1469,[1],[2],[1],[1],[2],[2],[1],[1],[1],[1],2003004,102,103,104,105,106,107,108,109,110,1,2,1,1,1,1,1,1,1,1
1470,[2],[5],[2],[2],[2],[1],[4],[1],[1],[1],2003021,102,103,104,105,106,107,108,109,110,1,2,1,1,1,1,1,1,1,1
1471,[2],[2],[2],[1],[1],[2],[1],[1],[1],[1],1980147,98,92,95,99,100,101,102,103,104,2,2,1,1,1,1,1,1,1,1
1472,[2],[1],[1],[1],[1],[1],[1],[1],[1],[1],2010082,109,110,112,113,114,111,105,106,108,1,1,1,1,1,1,1,1,1,1
1473,[1],[1],[1],[1],[4],[2],[4],[1],[1],[1],1986005,98,92,95,100,101,102,103,104,105,1,1,1,1,1,2,1,1,1,0
1474,[1],[2],[3],[4],[1],[2],[1],[4],[1],[0],2003025,102,103,104,105,106,107,108,109,110,1,2,1,1,1,2,1,1,1,0
1475,[2],[1],[1],[1],[2],[1],[2],[2],[1],[1],1980075,94,98,92,95,99,100,101,102,103,1,1,1,1,2,1,2,2,1,0
1476,[1],[1],[1],[2],[1],[1],[1],[1],[1],[0],1971059,100,101,102,81,94,98,92,95,99,1,1,1,2,1,1,1,1,1,1
1477,[1],[1],[2],[1],[4],[1],[1],[1],[1],[0],1951046,88,86,84,81,80,79,78,87,89,1,1,1,1,1,1,1,1,1,0
1478,[1],[1],[1],[2],[2],[2],[1],[2],[1],[0],1993049,105,106,107,108,109,100,102,103,104,1,1,1,1,2,2,1,2,1,0
1479,[2],[4],[2],[5],[1],[1],[4],[1],[2],[0],1986044,102,92,95,98,100,101,103,104,105,1,1,1,1,1,1,1,1,1,0
1480,[1],[1],[2],[1],[2],[1],[1],[1],[2],[0],1974013,100,101,102,81,94,98,92,95,99,1,1,2,2,1,1,1,1,1,1
